Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050013E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.07872014164603863,0.21642167907466306,16.86662797971067,44.863201230771544,54.123379176780546,11.920842398806037,42.20253677797451,0.9495329680136938,0.20913758594396556,0.7403953820697282,45.33491607815286,0.7953494048798747,83.76216852624378,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9880952380952381,0.9803037182327801,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.988095238095238,0.9886810044520452,0.942866688940862,0.9473684210526315,115.04,0.012,104.834095,0.005994,104834.095,5.994,548147.0,144714.0,18679.0,100.0,61.40350877192982,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050015E7,512.0,57.0,52.0,5.0,0.0,91.2280701754386,8.771929824561404,0.0,0.801670146137787,0.09293637581927189,0.2556854023716403,19.91260742104011,53.00238731819639,54.123379176780546,16.417462927383053,37.70591624939749,0.9495329680136938,0.28802566539268515,0.6615073026210085,43.162533955578894,0.7572374378171736,79.74840930496823,0.7619047619047619,16.0,0.0,0.0,1.0,36.0,0.23809523809523808,5.0,1.0,0.7619047619047619,0.8648648648648648,0.8179178119091964,0.9854497354497355,0.9761911641202259,0.9122807017543859,0.15037593984962405,0.849624060150376,0.08771929824561403,0.9229781771501926,0.9122807017543859,0.9092017513070144,0.8179178119091964,0.9854497354497355,0.9862813118861476,0.8999648999648999,0.9122807017543859,118.919,0.006,105.560715,0.005808,105560.715,5.808,548147.0,144714.0,18679.0,100.0,58.771929824561404,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050017E7,512.0,57.0,52.0,5.0,0.0,91.2280701754386,8.771929824561404,0.0,0.8133595284872297,0.0955949799971633,0.2427824691735887,20.482241655381657,50.32766965124913,54.123379176780546,14.074060218051562,40.04931895872898,0.9495329680136938,0.24691333715879935,0.7026196308548944,42.79589291265904,0.7508051388185797,79.07099217304395,0.9047619047619048,19.0,0.08333333333333333,3.0,0.9166666666666666,33.0,0.09523809523809523,2.0,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.8139267835041308,0.9814814814814815,0.9697007691965676,0.9122807017543859,0.09085213032581455,0.9091478696741855,0.08771929824561403,0.9136705399863294,0.9122807017543859,0.9126829520575103,0.8139267835041308,0.9814814814814814,0.9825543244738292,0.9066491975106452,0.9122807017543859,119.706,0.007,106.237344,0.006235999999999999,106237.344,6.236,548147.0,144714.0,18679.0,100.0,60.526315789473685,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050019E7,512.0,57.0,56.0,1.0,0.0,98.24561403508773,1.7543859649122806,0.0,0.9619238476953906,0.04425112630056321,0.11973659516710008,9.481274669839836,24.820835817542285,54.123379176780546,4.476801055824286,49.64657812095626,0.9495329680136938,0.07854036940042607,0.8709925986132678,49.64657812095628,0.870992598613268,91.72852633387521,0.9523809523809523,20.0,0.0,0.0,1.0,36.0,0.047619047619047616,1.0,1.0,0.9523809523809523,0.975609756097561,0.962621902223779,1.0,1.0,0.9824561403508771,0.03007518796992481,0.9699248120300752,0.017543859649122806,0.9829302987197724,0.9824561403508771,0.9823623542652152,0.9626219022237789,1.0,1.0,0.9809555629802873,0.9824561403508771,122.034,0.022,105.89487600000001,0.007828,105894.876,7.828,548147.0,144714.0,18679.0,100.0,59.64912280701754,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050021E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.0718744039929938,0.19483353645543258,15.399855844571668,40.388080297110335,54.123379176780546,22.61795126163951,31.505427915141034,0.9495329680136938,0.3968061624849037,0.55272680552879,46.25697580287193,0.8115258912784549,85.46579409202265,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9695767195767195,0.9733691926382956,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9695767195767195,0.9742419519805473,0.942866688940862,0.9473684210526315,116.626,0.006,106.47439999999999,0.005647999999999999,106474.4,5.648,548147.0,144714.0,18679.0,98.24561403508773,58.771929824561404,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050023E7,512.0,57.0,56.0,1.0,0.0,98.24561403508773,1.7543859649122806,0.0,0.9619238476953906,0.04229179389247452,0.13286162776473126,9.061466852872,27.541593650609574,54.123379176780546,5.0072878585352845,49.11609131824526,0.9495329680136938,0.08784715541289972,0.861685812600794,49.6664691553068,0.8713415641281894,91.76527761336489,0.9523809523809523,20.0,0.0,0.0,1.0,36.0,0.047619047619047616,1.0,1.0,0.9523809523809523,0.975609756097561,0.962621902223779,1.0,1.0,0.9824561403508771,0.03007518796992481,0.9699248120300752,0.017543859649122806,0.9829302987197724,0.9824561403508771,0.9823623542652152,0.9626219022237789,1.0,1.0,0.9809555629802873,0.9824561403508771,116.579,0.005,106.317119,0.005783,106317.119,5.783,548147.0,144714.0,18679.0,100.0,59.64912280701754,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050025E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.04437405360407616,0.1818350156558546,9.50761315264167,37.693547767711316,54.123379176780546,15.771290178627824,38.35208899815272,0.9495329680136938,0.27668930137943554,0.6728436666342583,48.83434582786721,0.8567429092608283,90.22782126807341,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9947089947089947,0.9906807060942399,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9947089947089947,0.9948121899645446,0.942866688940862,0.9473684210526315,125.238,0.006,105.667954,0.005614,105667.954,5.614,548147.0,144714.0,18679.0,98.24561403508773,52.63157894736842,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050027E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9272030651340997,0.032738276521564684,0.1487758205718107,6.955014324768341,30.547293544130348,54.87850267297728,6.24156694936159,48.636935723615686,0.9627807486487242,0.10950117455020333,0.8532795740985208,51.05603138174592,0.89571984880256,93.03466547910466,1.0,22.0,0.05714285714285714,2.0,0.9428571428571428,33.0,0.0,0.0,0.9166666666666666,1.0,0.9565217391304348,0.9296696802013683,0.9974025974025974,0.9959575997125404,0.9649122807017544,0.02205513784461153,0.9779448621553886,0.03508771929824561,0.9678362573099415,0.9649122807017544,0.9651590613362049,0.9296696802013683,0.9974025974025974,0.9974914585898569,0.9635549872122762,0.9649122807017544,113.311,0.006,106.907067,0.0056689999999999996,106907.067,5.669,548147.0,144714.0,18679.0,98.24561403508773,52.63157894736842,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050029E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9247027741083224,0.05234682790294864,0.16068034637939016,11.120711796828287,32.991582158705846,54.87850267297728,6.486097653233396,48.39240501974388,0.9627807486487242,0.11379118689883151,0.8489895617498927,49.0087454054701,0.8598025509731597,89.30408633324922,0.9090909090909091,20.0,0.0,0.0,1.0,35.0,0.09090909090909091,2.0,1.0,0.9090909090909091,0.9523809523809523,0.9273353546322172,0.9974025974025974,0.9959575997125404,0.9649122807017544,0.0558213716108453,0.9441786283891546,0.03508771929824561,0.9668089141773352,0.9649122807017544,0.9645641882483988,0.9273353546322172,0.9974025974025974,0.9974914585898569,0.9623015873015872,0.9649122807017544,115.943,0.006,106.776652,0.0056749999999999995,106776.652,5.675,548147.0,144714.0,18679.0,100.0,58.771929824561404,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.8 -N 1000 -V 0 -S 0 -E 20 -H 17',-115879962237199703,2.01906050031E7,513.0,56.0,49.0,7.0,0.0,87.5,12.5,0.0,0.7407407407407407,0.11046050173060777,0.268251183191535,23.592393319341827,55.4091620743498,53.4491279065209,20.320053451713093,33.12907445480781,0.9544487126164446,0.3628580973520195,0.5915906152644251,40.58156715604972,0.7246708420723165,75.92559270007976,0.9047619047619048,19.0,0.14285714285714285,5.0,0.8571428571428571,30.0,0.09523809523809523,2.0,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.7453559924999299,0.9741496598639455,0.9682729551150604,0.875,0.1130952380952381,0.886904761904762,0.125,0.8828125,0.875,0.87636815920398,0.7453559924999299,0.9741496598639455,0.9776384452580879,0.869983416252073,0.875,118.011,0.006,107.172433,0.0059640000000000006,107172.433,5.964,548147.0,144991.0,18402.0,98.21428571428571,60.714285714285715,?,-1.0
