Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,51.0,6.0,0.0,89.47368421052632,10.526315789473685,0.0,0.759493670886076,0.12930982828432533,0.24975647696095252,27.70600664819482,51.773348827601566,54.123379176780546,15.511370660637448,38.6120085161431,0.9495329680136938,0.2721293098357447,0.6774036581779491,39.5145582028147,0.6932378632072754,73.00829845407515,0.7142857142857143,15.0,0.0,0.0,1.0,36.0,0.2857142857142857,6.0,1.0,0.7142857142857143,0.8333333333333333,0.7824607964359516,0.9854497354497355,0.9755639119018156,0.8947368421052632,0.18045112781954886,0.8195488721804511,0.10526315789473684,0.9097744360902255,0.8947368421052632,0.8900134952766531,0.7824607964359516,0.9854497354497355,0.9860886744803969,0.8782051282051282,0.8947368421052632,0.008,0.158,0.00661,0.15393199999999999,6.61,153.932,408736.0,144714.0,18679.0,100.0,69.29824561403508,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,50.0,7.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7223382045929018,0.12966170291779833,0.26755389884285535,27.78139953258484,55.46267109277671,54.123379176780546,17.785963698915957,36.33741547786459,0.9495329680136938,0.31203445085817466,0.6374985171555191,39.41340150322751,0.6914631842671494,72.82139826209567,0.7142857142857143,15.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.2857142857142857,6.0,0.9375,0.7142857142857143,0.8108108108108109,0.7369780284390155,0.9748677248677249,0.9623369663146215,0.8771929824561403,0.19068504594820385,0.8093149540517961,0.12280701754385964,0.8845474967907574,0.8771929824561403,0.8728824518298202,0.7369780284390155,0.9748677248677249,0.9772022065436237,0.85995085995086,0.8771929824561403,0.007,0.167,0.006522,0.16544999999999999,6.522,165.45,408728.0,144714.0,18679.0,100.0,67.54385964912281,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8834355828220858,0.11987374537055011,0.22446593057472083,25.68422547803403,46.530736920084465,54.123379176780546,13.673602796298391,40.449776380482156,0.9495329680136938,0.23988776835611214,0.7096451996575817,41.34810384794688,0.7254053306657348,76.39601310349376,0.8571428571428571,18.0,0.0,0.0,1.0,36.0,0.14285714285714285,3.0,1.0,0.8571428571428571,0.923076923076923,0.8894991799933214,0.9894179894179894,0.9850889850889851,0.9473684210526315,0.09022556390977443,0.9097744360902255,0.05263157894736842,0.9514170040485831,0.9473684210526315,0.9463967611336033,0.8894991799933215,0.9894179894179894,0.9905376636892442,0.9415384615384615,0.9473684210526315,0.007,0.187,0.006643,0.151733,6.643,151.733,408712.0,144714.0,18679.0,100.0,68.42105263157895,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.08639963112421119,0.18332613526849836,18.51204031502952,38.00264988505561,54.123379176780546,9.319327636779152,44.804051540001396,0.9495329680136938,0.16349697608384475,0.7860359919298491,44.814113946468915,0.7862125253766477,82.79991868226624,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9947089947089947,0.9912106871734201,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9947089947089947,0.9949249750165083,0.942866688940862,0.9473684210526315,0.007,0.157,0.006212,0.157204,6.212,157.204,408688.0,144714.0,18679.0,100.0,65.78947368421052,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9230769230769231,0.07810233664042894,0.18932757480340914,16.734256683423173,39.246720214239794,54.123379176780546,16.75068471335558,37.37269446342496,0.9495329680136938,0.2938716616378172,0.6556613063758765,45.95807233158327,0.806281970729531,84.91353095576805,0.9047619047619048,19.0,0.0,0.0,1.0,36.0,0.09523809523809523,2.0,1.0,0.9047619047619048,0.9500000000000001,0.9258200997725514,0.9867724867724867,0.9846390168970814,0.9649122807017544,0.06015037593984962,0.9398496240601504,0.03508771929824561,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9258200997725514,0.9867724867724867,0.9888998225310374,0.9614864864864865,0.9649122807017544,0.008,0.146,0.00843,0.143831,8.43,143.831,408720.0,144714.0,18679.0,98.24561403508773,64.91228070175438,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9230769230769231,0.09474401706548108,0.19551068329863727,20.29991379248546,40.52844966869716,54.123379176780546,10.42456030523821,43.698818871542336,0.9495329680136938,0.18288702289891595,0.7666459451147778,43.97370623505341,0.7714685304395336,81.24715585740545,0.9047619047619048,19.0,0.0,0.0,1.0,36.0,0.09523809523809523,2.0,1.0,0.9047619047619048,0.9500000000000001,0.9258200997725514,0.9920634920634921,0.9880519480519481,0.9649122807017544,0.06015037593984962,0.9398496240601504,0.03508771929824561,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9258200997725514,0.9920634920634921,0.992709159347582,0.9614864864864865,0.9649122807017544,0.013,0.153,0.0076500000000000005,0.15176699999999999,7.65,151.767,408712.0,144714.0,18679.0,100.0,64.91228070175438,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8461538461538461,0.12643329010003945,0.27610781853655625,27.08967773402773,57.235858613413086,54.123379176780546,25.689584889364138,28.433794287416408,0.9495329680136938,0.45069447174323046,0.4988384962704633,40.01680334788428,0.7020491815418294,73.93626184569767,0.8571428571428571,18.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.14285714285714285,3.0,0.9473684210526315,0.8571428571428571,0.9,0.8486684247915055,0.966931216931217,0.9184618369581257,0.9298245614035088,0.10045948203842939,0.8995405179615705,0.07017543859649122,0.9307479224376731,0.9298245614035088,0.9290184921763869,0.8486684247915054,0.966931216931217,0.9603767743886664,0.922972972972973,0.9298245614035088,0.008,0.151,0.007804,0.150651,7.804,150.651,408688.0,144714.0,18679.0,98.24561403508773,65.78947368421052,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8880157170923378,0.06915785273891425,0.16760684273702778,14.692094623629249,34.413760283187976,54.87850267297728,7.541457532508377,47.3370451404689,0.9627807486487242,0.13230627250014698,0.8304744761485773,47.3675999667719,0.8310105257328403,86.3135793792278,0.9090909090909091,20.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.09090909090909091,2.0,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.8886350389948482,0.9974025974025974,0.9959575997125404,0.9473684210526315,0.06684894053315106,0.9331510594668488,0.05263157894736842,0.9475076580339737,0.9473684210526315,0.9471270708707571,0.8886350389948482,0.9974025974025974,0.9974914585898569,0.9439895185063871,0.9473684210526315,0.007,0.148,0.006312,0.146728,6.312,146.728,408728.0,144714.0,18679.0,100.0,61.40350877192982,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,512.0,57.0,52.0,5.0,0.0,91.2280701754386,8.771929824561404,0.0,0.8101265822784809,0.15198830445120978,0.3036104831136247,32.28883579009168,62.338614669381336,54.87850267297728,37.45966173053957,17.418840942437704,0.9627807486487242,0.657187047904203,0.30559370074452114,37.95862820514782,0.6659408457043476,69.16848375281751,0.8181818181818182,18.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.18181818181818182,4.0,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8154355063002009,0.9337662337662338,0.9007476539763248,0.9122807017543859,0.12267031214399637,0.8773296878560036,0.08771929824561403,0.9150507848568791,0.9122807017543859,0.9108739104694579,0.8154355063002009,0.9337662337662338,0.9366066882269493,0.9047778149014367,0.9122807017543859,0.007,0.161,0.00615,0.159863,6.15,159.863,408728.0,144714.0,18679.0,94.73684210526316,69.29824561403508,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 20 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041955E7,513.0,56.0,48.0,8.0,0.0,85.71428571428571,14.285714285714286,0.0,0.6893203883495145,0.19491716686466481,0.3408168362083352,41.63083087000616,70.39810632130957,53.4491279065209,35.85531702612206,17.59381088039884,0.9544487126164446,0.6402735183236082,0.31417519429283647,31.547655671201525,0.5633509941285987,59.023705169476955,0.7619047619047619,16.0,0.08571428571428572,3.0,0.9142857142857143,32.0,0.23809523809523808,5.0,0.8421052631578947,0.7619047619047619,0.8,0.6914090450089236,0.9061224489795918,0.8886488951260828,0.8571428571428571,0.18095238095238095,0.8190476190476189,0.14285714285714285,0.8563300142247511,0.8571428571428571,0.8555555555555555,0.6914090450089236,0.906547619047619,0.9158310533981283,0.8444444444444446,0.8571428571428571,0.007,0.145,0.007267,0.144686,7.267,144.686,409485.0,144991.0,18402.0,96.42857142857143,70.53571428571429,?,-1.0
