Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,50.0,7.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7223382045929018,0.12329751557046059,0.2756550604502934,26.417804674443104,57.14200398101343,54.123379176780546,23.64486486743101,30.478514309349535,0.9495329680136938,0.4148221906566844,0.5347107773570093,39.4154425942613,0.6914989928817772,72.82516944391179,0.7142857142857143,15.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.2857142857142857,6.0,0.9375,0.7142857142857143,0.8108108108108109,0.7369780284390155,0.9583333333333334,0.9269641495041951,0.8771929824561403,0.19068504594820385,0.8093149540517961,0.12280701754385964,0.8845474967907574,0.8771929824561403,0.8728824518298202,0.7369780284390155,0.9583333333333334,0.9471155205809979,0.85995085995086,0.8771929824561403,0.002,0.026,0.0,0.03,0.0,30.0,151306.0,148713.0,19038.0,98.24561403508773,60.526315789473685,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,52.0,5.0,0.0,91.2280701754386,8.771929824561404,0.0,0.805725971370143,0.10577646978304019,0.24970616560384792,22.66373417949033,51.76291951872813,54.123379176780546,21.06318525456153,33.060193922219014,0.9495329680136938,0.36952956586950053,0.5800034021441932,41.84894891438716,0.7341920862173186,77.32138966729698,0.8095238095238095,17.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.19047619047619047,4.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8112561965679829,0.9609788359788359,0.9355332776385408,0.9122807017543859,0.1305346700083542,0.8694653299916458,0.08771929824561403,0.9147548358074673,0.9122807017543859,0.9106612685560054,0.8112561965679829,0.9609788359788358,0.9506489714245947,0.9025641025641026,0.9122807017543859,0.001,0.01,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,98.24561403508773,59.64912280701754,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,51.0,6.0,0.0,89.47368421052632,10.526315789473685,0.0,0.7644628099173554,0.1349782127620742,0.26119704566238733,28.920518337744955,54.14492517818458,54.123379176780546,15.981429694230044,38.1419494825505,0.9495329680136938,0.2803759595478955,0.6691570084657983,38.586469360781365,0.6769556028207258,71.29353330794123,0.7619047619047619,16.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.23809523809523808,5.0,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.7740653530990438,0.9728835978835979,0.9302832244008715,0.8947368421052632,0.16060985797827904,0.8393901420217209,0.10526315789473684,0.8993808049535604,0.8947368421052632,0.89196675900277,0.7740653530990438,0.9728835978835979,0.959243950161874,0.881578947368421,0.8947368421052632,0.001,0.005,0.0,0.0,0.0,0.0,151306.0,148713.0,19038.0,100.0,64.91228070175438,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9246031746031746,0.08241507539981295,0.20707553533310238,17.658306852886625,42.925789372578265,54.123379176780546,17.482912462906306,36.64046671387424,0.9495329680136938,0.3067177625071282,0.6428152055065656,45.206961766926945,0.7931045924022271,83.52575625270858,0.9523809523809523,20.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.047619047619047616,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9246031746031746,0.9794973544973545,0.9348617652189082,0.9649122807017544,0.04030910609857978,0.9596908939014202,0.03508771929824561,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9246031746031745,0.9794973544973546,0.9675888579974453,0.9623015873015872,0.9649122807017544,0.001,0.01,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,98.24561403508773,58.771929824561404,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9230769230769231,0.07657472680400615,0.2023077638496011,16.4069500212357,41.93745265695349,54.123379176780546,16.898419207608345,37.224959969172204,0.9495329680136938,0.29646349487032186,0.653069473143372,45.791455022224916,0.8033588600390336,84.6056837520409,0.9047619047619048,19.0,0.0,0.0,1.0,36.0,0.09523809523809523,2.0,1.0,0.9047619047619048,0.9500000000000001,0.9258200997725514,0.9722222222222222,0.9637136319058516,0.9649122807017544,0.06015037593984962,0.9398496240601504,0.03508771929824561,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9258200997725514,0.9722222222222223,0.9668333911909941,0.9614864864864865,0.9649122807017544,0.001,0.007,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,98.24561403508773,57.89473684210526,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8461538461538461,0.08825542399561974,0.21173597557608367,18.909663684537545,43.89187682434748,54.123379176780546,10.477283804870762,43.64609537190978,0.9495329680136938,0.18381199657668004,0.7657209714370137,43.94244195739702,0.7709200343402987,81.18939102798805,0.8571428571428571,18.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.14285714285714285,3.0,0.9473684210526315,0.8571428571428571,0.9,0.8486684247915055,0.9874338624338624,0.9671177944862155,0.9298245614035088,0.10045948203842939,0.8995405179615705,0.07017543859649122,0.9307479224376731,0.9298245614035088,0.9290184921763869,0.8486684247915054,0.9874338624338626,0.9808744014258413,0.922972972972973,0.9298245614035088,0.001,0.009,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,100.0,59.64912280701754,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,50.0,7.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7223382045929018,0.15249925854949462,0.3182749640715511,32.67458883269774,65.9769105429246,54.123379176780546,43.403974664539,10.719404512241546,0.9495329680136938,0.7614732397287544,0.18805972828493941,36.492976317771486,0.6402276546977453,67.42553194725012,0.7142857142857143,15.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.2857142857142857,6.0,0.9375,0.7142857142857143,0.8108108108108109,0.7369780284390155,0.91005291005291,0.8356829573934837,0.8771929824561403,0.19068504594820385,0.8093149540517961,0.12280701754385964,0.8845474967907574,0.8771929824561403,0.8728824518298202,0.7369780284390155,0.9100529100529101,0.884770254915935,0.85995085995086,0.8771929824561403,0.002,0.006,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,94.73684210526316,61.40350877192982,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.925974025974026,0.05905368101658572,0.16521467278225438,12.545535105677097,33.92258962430633,54.87850267297728,6.726617681405363,48.15188499157191,0.9627807486487242,0.11801083651588357,0.8447699121328406,48.29393789210329,0.8472620682825138,88.00155897089317,0.9545454545454546,21.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.045454545454545456,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.925974025974026,0.9948051948051948,0.9862809917355372,0.9649122807017544,0.03893825472772842,0.9610617452722717,0.03508771929824561,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9259740259740261,0.9948051948051948,0.9915094554568238,0.9629870129870131,0.9649122807017544,0.001,0.006,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,100.0,57.01754385964912,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,512.0,57.0,50.0,7.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7341772151898733,0.15249925854949462,0.3302664952837797,32.39738435924221,67.81174212616862,54.87850267297728,51.8222964248481,3.056206248129179,0.9627807486487242,0.9091630951727736,0.05361765347595051,37.22667844122544,0.6530996217758849,67.83471965891705,0.7727272727272727,17.0,0.05714285714285714,2.0,0.9428571428571428,33.0,0.22727272727272727,5.0,0.8947368421052632,0.7727272727272727,0.8292682926829269,0.7389884275845571,0.8896103896103896,0.8371489012936381,0.8771929824561403,0.16160856687172476,0.8383914331282752,0.12280701754385964,0.8785780240073869,0.8771929824561403,0.8752234746572412,0.7389884275845571,0.8896103896103896,0.8661597460465217,0.8666889408620114,0.8771929824561403,0.001,0.005,0.0,0.01,0.0,10.0,151306.0,148713.0,19038.0,92.98245614035088,59.64912280701754,?
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0190613154099997E7,513.0,56.0,45.0,11.0,0.0,80.35714285714286,19.642857142857142,0.0,0.5849056603773586,0.20871187540558075,0.369891989457054,44.57713461228577,76.40378301405512,53.4491279065209,50.328250902715745,3.1208770038051554,0.9544487126164446,0.898718766119924,0.05572994649652063,29.18674992030009,0.5211919628625016,54.606597083016666,0.7619047619047619,16.0,0.17142857142857143,6.0,0.8285714285714286,29.0,0.23809523809523808,5.0,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.5853225568382548,0.861904761904762,0.7987786023500308,0.8035714285714286,0.21309523809523806,0.7869047619047619,0.19642857142857142,0.8058155080213903,0.8035714285714286,0.8044320862824402,0.5853225568382548,0.8619047619047618,0.8405850235351057,0.7923828783282778,0.8035714285714286,0.001,0.006,0.01,0.0,10.0,0.0,151591.0,148998.0,18753.0,94.64285714285714,66.07142857142857,?
