Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8461538461538461,0.07522496277594354,0.26282876992189014,16.11774871588117,54.48317398080084,54.123379176780546,1093.9572952978854,-1039.8339161211047,0.9495329680136938,19.192233250840093,-18.242700282826398,45.32434417527405,0.7951639328995447,83.74263555723924,0.8571428571428571,18.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.14285714285714285,3.0,0.9473684210526315,0.8571428571428571,0.9,0.8486684247915055,0.9265873015873016,0.8708536045997346,0.9298245614035088,0.10045948203842939,0.8995405179615705,0.07017543859649122,0.9307479224376731,0.9298245614035088,0.9290184921763869,0.8486684247915054,0.9265873015873017,0.9057900168377601,0.922972972972973,0.9298245614035088,0.055,0.001,0.06,0.0,60.0,0.0,8487.0,148713.0,19038.0,92.98245614035088,50.0,'Number of leaves: 12\nSize of the tree: 23\n',23.0,12.0,12.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.056606359649122806,0.22122028975240035,12.128514882258287,45.85793076703573,54.123379176780546,1085.5377473606957,-1031.414368183915,0.9495329680136938,19.044521883520975,-18.09498891550728,47.49781429851252,0.8332949876932022,87.75840500160335,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9629629629629629,0.9205395201558884,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9629629629629629,0.948433037113599,0.942866688940862,0.9473684210526315,0.027,0.001,0.03,0.0,30.0,0.0,9943.0,148713.0,19038.0,96.49122807017544,52.63157894736842,'Number of leaves: 16\nSize of the tree: 31\n',31.0,16.0,16.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,51.0,6.0,0.0,89.47368421052632,10.526315789473685,0.0,0.7738095238095238,0.11700255505782704,0.32320138187003405,25.06904240225401,66.99813389718916,54.123379176780546,5375.744332652247,-5321.620953475466,0.9495329680136938,94.31130408161837,-93.36177111360468,40.56385145372737,0.711646516732059,74.94700454906122,0.8571428571428571,18.0,0.08333333333333333,3.0,0.9166666666666666,33.0,0.14285714285714285,3.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7738095238095238,0.8366402116402116,0.7549516648764768,0.8947368421052632,0.12092731829573934,0.8790726817042606,0.10526315789473684,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7738095238095238,0.8366402116402116,0.8352010508727961,0.8869047619047619,0.8947368421052632,0.025,0.0,0.03,0.0,30.0,0.0,8123.0,148713.0,19038.0,89.47368421052632,50.87719298245614,'Number of leaves: 11\nSize of the tree: 21\n',21.0,11.0,11.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,51.0,6.0,0.0,89.47368421052632,10.526315789473685,0.0,0.7824427480916031,0.11472202441322654,0.3215721914874403,24.580414445361324,66.66041035539774,54.123379176780546,3241.8432079359363,-3187.719828759156,0.9495329680136938,56.87444224449011,-55.92490927647642,40.76819508191131,0.7152314926651107,75.3245560458303,0.9523809523809523,20.0,0.1388888888888889,5.0,0.8611111111111112,31.0,0.047619047619047616,1.0,0.8,0.9523809523809523,0.8695652173913043,0.790804668555721,0.8723544973544973,0.8030511060259344,0.8947368421052632,0.08124477861319968,0.9187552213868003,0.10526315789473684,0.906578947368421,0.8947368421052632,0.8962175259119667,0.790804668555721,0.8723544973544973,0.8724886765187134,0.8906649616368287,0.8947368421052632,0.027,0.0,0.02,0.0,20.0,0.0,9215.0,148713.0,19038.0,89.47368421052632,50.0,'Number of leaves: 14\nSize of the tree: 27\n',27.0,14.0,14.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.06281544463366183,0.2295136203127992,13.458877408783254,47.57709937988123,54.123379176780546,1089.005668049289,-1034.8822888725083,0.9495329680136938,19.105362597355946,-18.15582962934225,46.97468859668531,0.8241173438014967,86.79186205882338,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9338624338624338,0.8885154061624649,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.933862433862434,0.9175738228043915,0.942866688940862,0.9473684210526315,0.019,0.0,0.02,0.0,20.0,0.0,8851.0,148713.0,19038.0,94.73684210526316,53.50877192982456,'Number of leaves: 13\nSize of the tree: 25\n',25.0,13.0,13.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.0614497054283789,0.2167058200279057,13.166253251723292,44.92210232061491,54.123379176780546,1082.1698018484992,-1028.0464226717186,0.9495329680136938,18.98543512014911,-18.035902152135414,47.112500409203115,0.8265350948983002,87.04648735128282,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9821428571428571,0.9433368219082504,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9821428571428571,0.9707112473040451,0.942866688940862,0.9473684210526315,0.017,0.001,0.02,0.0,20.0,0.0,8123.0,148713.0,19038.0,98.24561403508773,55.26315789473684,'Number of leaves: 11\nSize of the tree: 21\n',21.0,11.0,11.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8461538461538461,0.07874825159734851,0.2523359300453457,16.872650835886457,52.30805738029949,54.123379176780546,2156.4435728475305,-2102.32019367075,0.9495329680136938,37.83234338329001,-36.88281041527632,45.030971879532494,0.7900170505181139,83.20059198899985,0.8571428571428571,18.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.14285714285714285,3.0,0.9473684210526315,0.8571428571428571,0.9,0.8486684247915055,0.9351851851851852,0.9107530731590883,0.9298245614035088,0.10045948203842939,0.8995405179615705,0.07017543859649122,0.9307479224376731,0.9298245614035088,0.9290184921763869,0.8486684247915054,0.9351851851851852,0.9287519786307875,0.922972972972973,0.9298245614035088,0.016,0.001,0.01,0.0,10.0,0.0,8123.0,148713.0,19038.0,94.73684210526316,51.75438596491228,'Number of leaves: 11\nSize of the tree: 21\n',21.0,11.0,11.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.851948051948052,0.07079624613003095,0.25683532337195863,15.040159662951538,52.734537006018115,54.87850267297728,2159.2385946485924,-2104.360091975615,0.9627807486487242,37.88137885348408,-36.918598104835354,46.44448000283383,0.8148154386462075,84.63146357982458,0.9090909090909091,20.0,0.05714285714285714,2.0,0.9428571428571428,33.0,0.09090909090909091,2.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8519480519480519,0.9487012987012987,0.8868161818046224,0.9298245614035088,0.07787650945545684,0.9221234905445431,0.07017543859649122,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8519480519480519,0.9487012987012986,0.9269377657145355,0.9259740259740259,0.9298245614035088,0.016,0.0,0.01,0.0,10.0,0.0,9943.0,148713.0,19038.0,94.73684210526316,50.87719298245614,'Number of leaves: 16\nSize of the tree: 31\n',31.0,16.0,16.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8494055482166446,0.06725146198830408,0.2142241198454377,14.287095448722592,43.98542080292491,54.87850267297728,1080.5834115808375,-1025.7049089078603,0.9627807486487242,18.957603711944518,-17.994822963295793,46.90137142950692,0.8228310777106478,85.46401440468168,0.8636363636363636,19.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.13636363636363635,3.0,0.95,0.8636363636363636,0.9047619047619048,0.851823761469308,0.9837662337662337,0.9507011104837192,0.9298245614035088,0.09475962633857371,0.9052403736614263,0.07017543859649122,0.9309151256519678,0.9298245614035088,0.9291283764967976,0.851823761469308,0.9837662337662337,0.9742010441817741,0.9246031746031746,0.9298245614035088,0.014,0.0,0.02,0.0,20.0,0.0,9215.0,148713.0,19038.0,98.24561403508773,54.3859649122807,'Number of leaves: 14\nSize of the tree: 27\n',27.0,14.0,14.0
WDBC-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01906131544E7,513.0,56.0,55.0,1.0,0.0,98.21428571428571,1.7857142857142858,0.0,0.9615384615384615,0.033366826791548,0.13695650780380017,7.126559169578938,28.289326621979225,53.4491279065209,1075.2925678802028,-1021.8434399736819,0.9544487126164446,19.201652997860766,-18.24720428524432,50.06005563759181,0.8939295649569966,93.65925619056618,0.9523809523809523,20.0,0.0,0.0,1.0,35.0,0.047619047619047616,1.0,1.0,0.9523809523809523,0.975609756097561,0.9622504486493763,0.9537414965986395,0.9702380952380952,0.9821428571428571,0.02976190476190476,0.9702380952380951,0.017857142857142856,0.982638888888889,0.9821428571428571,0.9820508416351768,0.9622504486493764,0.9537414965986394,0.9596467753768173,0.9807626245276537,0.9821428571428571,0.027,0.0,0.03,0.0,30.0,0.0,8851.0,148998.0,18753.0,98.21428571428571,51.785714285714285,'Number of leaves: 13\nSize of the tree: 25\n',25.0,13.0,13.0
